verdict,segment,business,trade_tier,trade_kw,response,resp_hours,phone,email,likelihood,contact_id,why,ADVERTISER? (Kevin),RECENT RAQs (Kevin),RULING (keep/drop)
CLIENT,call_now,MAJ Countertops,CORE,countertop,1 day,24,+14806506156,jgonzalez@majcountertops.com,4,a6PjVDieoV4DwhGhMsaD,"Family-owned countertop business with 12 years experience, good reviews (4.8 stars), active on Yelp with recent customer interactions, serves Phoenix area, like",,,
DUPLICATE;VERTICAL-UNRULED,running,"About Blind Cleaning, Inc",OUT,blind,4+ hours (Limited business hours Mon-Fri 10am-4pm),4,,blindcleaningarizona@gmail.com,0,j3QojU71MNftzWe8mMFD,"Established business since 1995, veteran-owned, 30 years experience, 5.0 rating with 15 reviews, professional website, multiple service offerings",,,
DUPLICATE,running,Desert Sage Landscaping,CORE,landscap,Unknown,,,info@desertsagelandscape.com,0,oBd7dQFeWyD8iWCe6xzT,"Established landscaping company with good reviews, offers multiple services including irrigation and artificial grass, active on social media and has profession",,,
DUPLICATE,running,Fireside Pools,CORE,remodel,11 hours,11,,info@firesideazpools.com,0,ciI47ZFEpCiNsCCHYAVQ,"Website present and reasonable response time. Pool remodeling is high-ticket service in Phoenix market. These businesses benefit from seasonal analytics, custom",,,
DUPLICATE,running,Goodman's Landscape,CORE,landscap,Not specified (assumed >2 hours),2,,customerservice@glmaz.com,0,xPpewyZeKQKsODSzaCJK,"Established company since 1984, licensed contractor, ALCA member, SLM certified green company, serves residential and commercial, comprehensive services includi",,,
DUPLICATE,running,One Home Solution,ADJACENT,handyman,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",4,,contact@onehomesolution.com,0,BMtxu5f2c4SLWFAVJEKV,"Multi-service company (handyman, window washing, painting), serves entire Maricopa County, 30-day guarantee, professional website, free estimates, local experti",,,
DUPLICATE,running,Professional Window Cleaning,OUT,window clean,>2 hours,2,,office@getmywindowsclean.com,0,c05DLrZPffCRH74ygVLp,"Established business with professional website and 25+ years experience, likely has budget for business services and growth initiatives",,,
DUPLICATE,hot,Rebuild Arizona Construction,ADJACENT,contractor,7 hrs,7,+16025741100,rebuildaz24@gmail.com,4,Xpy1wlMDlcNNjAcIaYZQ,"Full-service general contractor with 4.7 rating and 70 reviews, verified license, free estimates and emergency services available, strong market presence",,,
DUPLICATE,running,Sky View Window Cleaning LLC,OUT,window clean,2 hrs,2,,skyviewwindowcleaningllc@gmail.com,0,jcZBy6GxfqPsN2PXlakG,"Family-owned business with 19+ years experience, responsive, good for recurring service contracts",,,
DUPLICATE;VERTICAL-UNRULED,running,Spectrum Shades and Shutters,OUT,blind,1 day,24,,georgealay@me.com,0,kNhe25XrmA2SfmRgCZgk,"High-end window treatments company with established online presence and professional website, likely to invest in marketing services",,,
DUPLICATE,running,Stonecreek Roofing,CORE,roof,2 hours,2,,info@stonecreekroofingaz.com,0,7suLpIcauroIvmRFLKa6,"Emergency roofing services with 2-hour response time, established company with professional website, serves Phoenix metro area, likely has marketing budget for ",,,
VERTICAL-UNRULED,never_emailed,"About Blind Cleaning, Inc",OUT,blind,4+ hours (Limited business hours Mon-Fri 10am-4pm),4,+16024047250,,4,5vJk9hWY63bE1ec80EfD,"Established business since 1995, veteran-owned, 30 years experience, 5.0 rating with 15 reviews, professional website, multiple service offerings",,,
VERTICAL-UNRULED,not_enrolled,Access Glass Works,OUT,glass,,,+16025271857,accessglassworks@gmail.com,0,Bct4uINc5q9GEQPyj2yo,,,,
VERTICAL-UNRULED,call_now,Arizona Blinds Company,OUT,blind,1 day,24,+16239001316,hello@arizonablindscompany.com,5,mqQnYEQ7KPGs6YCrg0tn,"Good reviews (4.9 with 32 reviews), verified license, free estimates, locally owned, smaller review base suggests newer or smaller operation with growth potenti",,,
VERTICAL-UNRULED,call_now,Arizona Window Coverings Center,OUT,window covering,Not specified,,+16026000206,office@arizonawcc.com,4,rNhZBn7rwwW0fjZv1MZV,"Highly rated window treatment business with 214 reviews, established presence, excellent prospect for marketing services",,,
VERTICAL-UNRULED,never_emailed,Arizona's Blind Brothers,OUT,blind,Not specified,,+14805482224,,4,Yfbn5bHbBBY5Bp1HylXM,"Established window treatment business with good ratings, likely to need marketing services for lead generation",,,
VERTICAL-UNRULED,never_emailed,Desert Blind and Shutter Repair,OUT,blind,3 hours,3,+16237595583,,4,oaxaFDaAOX15DJvuAXUT,"Strong local presence with established website, BBB profile, and owner-operated business in growing Phoenix market",,,
VERTICAL-UNRULED,dead,Factory Direct Windows,OUT,windows and doors,1 day,24,,travis@factorydirectwindows.com,5,9jL8fknRbzxX52aT5z5O,"1 day response time indicates high demand, 100% response rate, factory direct suggests volume business",,,
VERTICAL-UNRULED,running,Krasiva Windows and Doors,OUT,windows and doors,12 hours,12,,admin@krasivawindows.com,0,TQF4VVV5ztJEcTxnqsIl,Established windows and doors company with 12-hour response time suggests they handle multiple projects simultaneously. Professional naming and consistent respo,,,
VERTICAL-UNRULED,call_now,MAX PRO MOVING,OUT,moving,,,+17608773065,maxprotectionmoving@gmail.com,0,yHlO0lDBnNgu0HrFK0Wd,,,,
VERTICAL-UNRULED,never_emailed,Phoenix Shutters and Blinds,OUT,blind,Under 2 hours,2,+16024912241,,4,zLuxEAkGuoPpY2AmGquz,"Established business with professional website, offers free consultations, serves multiple Phoenix areas, and specializes in custom window treatments - high pot",,,
VERTICAL-UNRULED,never_emailed,Phoenix Windows and Doors,OUT,windows and doors,>2 hours,2,+16028996260,,4,AWRt6v9PvjGhYZKuv5pk,"Established windows and doors manufacturer with factory-direct pricing, professional website, likely has substantial project budgets and could benefit from busi",,,
VERTICAL-UNRULED,never_emailed,Spectrum Shades and Shutters,OUT,blind,1 day,24,+16027045828,,4,BR6gMAyhcfeoOUBl2MVb,"High-end window treatments company with established online presence and professional website, likely to invest in marketing services",,,
VERTICAL-UNRULED,never_emailed,Vision Windows & Doors,OUT,windows & doors,>2 hours,2,+16024307614,,4,Z0ElHdOSm6LA56tUPNuQ,"Established windows and doors manufacturer with factory-direct pricing, professional website, likely has substantial project budgets and could benefit from busi",,,
VERTICAL-UNRULED,never_emailed,Window Pros AZ,OUT,blind,3 hours,3,+16026263705,,4,cs8C5ktKMlu1AbxzUfxe,Established business with good response time and active Yelp presence in growing Phoenix market,,,
OUT-NOT-HOME-SERVICE,never_emailed,Detail Boss,OUT,detail,12 hours,12,+14808235858,,4,rZJjE5RU7hOzlb2wzqB7,"Website present and Scottsdale location (affluent market). Mobile services benefit from route optimization, customer retention analytics, and subscription track",,,
NO-PAIN-SIGNAL,call_now,Arizona Tree Works,CORE,tree,45 minutes,0.8,+16025964447,info@arizonatreeworks.com,5,ibtgpANIDxYt77o2XL3A,"Very fast 45-minute response time well below industry average of 2 hours, emergency tree service indicates high-value projects, established company with profess",,,
NO-PAIN-SIGNAL,never_emailed,Camelback Hardscapes,CORE,landscap,>2 hours,2,+14806008011,,4,yvQwevHn3EydZnSxKtc2,"High-end hardscaping contractor with excellent reviews (5.0 rating), likely has substantial project budgets and could benefit from business services",,,
NO-PAIN-SIGNAL,dead,Only One Pool Service,ADJACENT,pool,40 minutes,0.7,,onlyonepoolservice@gmail.com,5,NA9wh1TF0pO0vw6RsA6v,"Very fast 40-minute response time with 100% response rate indicates high customer service standards, pool service businesses often need regular supplies and equ",,,
KEEP,running,"1st Choice Plumbing, Air & Insulation",CORE,plumb,,,,info@1stchoicemechanicalaz.com,0,JP0sF30vZtlGhLg8JANh,,,,
KEEP,running,"4 Seasons Pest Management, Aurora, CO",CORE,pest,,,,service@4seasonspestco.com,0,mnUcLQUaTsU2slxkMvAB,,,,
KEEP,never_emailed,AAA Landscape,CORE,landscap,Unknown,,+16024372690,,4,OVlkstwySGLLznXjKUJA,"Established landscaping company with Phoenix office, standard business profile suggests moderate potential",,,
KEEP,running,AirBest Home Services,UNKNOWN,,,,,airbesthomeservices@gmail.com,0,BP5jtV7ps5RLuwx4hrer,,,,
KEEP,running,AKT Landscaping,CORE,landscap,,,,aktsevices@gmail.com,0,Vqy75ITjVjGGm3mf4QNQ,,,,
KEEP,running,All Around Electrical Services,CORE,electric,,,,info@allaroundelectrical.com,0,LSwbuUmgt74LifoGJVhx,,,,
KEEP,running,All Professional Landscape,CORE,landscap,,,,info@allprofessionallandscape.com,0,TWxQESMxD4hry2ncL0Py,,,,
KEEP,running,America Plumbing LLC,CORE,plumb,,,,info@americaplumbingaz.com,0,gWGKYDb1jemltpshAuLW,,,,
KEEP,call_now,AMS Landscaping,CORE,landscap,Unknown,,+16029440421,admin@azlawns.com,4,DSqDvHsqorcqdT0yM7fK,"Established company serving Phoenix since 1969, long history and residential/commercial services indicate strong business potential",,,
KEEP,running,Anthem Electric,CORE,electric,,,,anthemelectric@yahoo.com,0,g4SqQGWLyUqjxBpiw6Qi,,,,
KEEP,never_emailed,Apple Plumbing,CORE,plumb,1 day,24,+14804258282,,4,6r7nzNoBxQcjAG3VeXBq,Established business with website and Scottsdale location (affluent area). 1-day response time indicates busy operation. Owner Joni V. shows engagement. Good fi,,,
KEEP,never_emailed,Arizona Lawn & Garden,CORE,lawn,,,+18557075914,,4,Mk1xraNDr8C4sJ6i4YPZ,,,,
KEEP,running,AZ Grand Roofing and Painting,CORE,roof,,,,info@azroofingandpainting.com,0,t56MEjEAf1Akrl7OfXNv,,,,
KEEP,call_now,AZ Remodel Pros,CORE,remodel,5 hours,5,+16028878792,azremodelpros@gmail.com,4,iisZi7zTmNOqA5dSmZmW,"Established general contractor (4.6 rating, 23 reviews), Yelp Guaranteed, verified license, family-owned, 5-hour response time indicates they may have capacity ",,,
KEEP,call_now,Beck's Flooring Installations,ADJACENT,flooring,,,+14805586312,mbeck1@cox.net,0,NnVMtrDMOyDNVD8yWwmT,,,,
KEEP,never_emailed,Blue Sky Window Cleaning & Landscaping Services,OUT,window clean,Unknown - needs verification,,+16023867380,,4,1h9qeMNQkp0Jcc9YftJ9,"Established business with professional website, multiple services, and clear contact info. Good prospect for B2B services.",,,
KEEP,running,"Boldt HVAC & Repair, Inc.",CORE,hvac,,,,phillipboldt@hotmail.com,0,Y6uYDb6ExTejbiicJgbS,,,,
KEEP,not_enrolled,Bubbles Cleaning Service,UNKNOWN,,,,+16025634295,bubblebyliz@gmail.com,0,fPFFrkmd5ttV0JmiNNYQ,,,,
KEEP,call_now,Buildcal Landscape,CORE,landscap,,,+18183031570,arin@buildcal.com,0,jLZhq3RnBMXfoeQ0hyV8,,,,
KEEP,running,Cabinet Refinishing Specialist,CORE,cabinet,,,,vachikhovhannisyan@yahoo.com,0,cnzZtywc5a2HQxiTueUj,,,,
KEEP,call_now,Capstone Plumbing,CORE,plumb,1 day,24,+16025101614,office@capstone-plumbing.com,4,saQiioKZpq7UKqPm5JgB,Plumbing specialist with excellent reviews but very slow response time of 1 day may indicate capacity issues,,,
KEEP,running,Casa Painting Services,CORE,paint,,,+17472001147,carlospainter21@yahoo.com,0,4k4bbDfWCJG2ZukXr3Ss,,,,
KEEP,never_emailed,Cold Fusion Mechanical,CORE,hvac,1 hour,1,+14805184249,,4,OGmsn7MdoUAbOcRofquZ,"1-hour phone response time for after-hours emergencies, HVAC contractors often need regular supplies and parts, established business with professional website s",,,
KEEP,running,Coleman Painting LLC,CORE,paint,,,,colemanpaintingllc@gmail.com,0,xF9Qz1ObAGLDepfiXFBk,,,,
KEEP,call_now,Colorworks Landscaping,CORE,landscap,>2 hours,2,+16024922206,info@colorworkslandscapeaz.com,4,MNy0mE6P3WzVJ9tGytJ1,"Established landscaping company with 20+ years experience, professional website, and active social media presence - likely has budget for business growth servic",,,
KEEP,never_emailed,Copper State Home Maintenance & Repair,ADJACENT,home maintenance,,,+16025704476,,4,P6tnrd5FLkokN2WVpQbH,,,,
KEEP,running,CVA Exterminators,CORE,exterminat,,,,mail@cvaexterminators.com,0,i9QULrkikz49BVL5MKsb,,,,
KEEP,never_emailed,Dan the Handyman,ADJACENT,handyman,5 hours,5,+14804085601,,4,rWHF5dKjnovagjgXqJIW,5-hour response time with 100% response rate indicates busy handyman who could benefit from lead response automation to capture more opportunities,,,
