Category,Business Name,Owner Name,Response Time,Phone,Website,Yelp URL,Purchase Likelihood (1-5),Likelihood Reasoning,EMAIL,SUBJECT,_all_emails
Plumbers,Capstone Plumbing,Erica S.,12 hours,(602) 510-1614,capstone-plumbing.com,https://www.yelp.com/biz/capstone-plumbing-cave-creek,4,Medium-sized plumbing company with website and professional presence. Response time indicates good operational capacity. Likely benefits from analytics for customer acquisition tracking and service efficiency.,office@capstone-plumbing.com,,
Plumbers,Reds Rooter,Marty H.,1 week,(602) 516-0041,,https://www.yelp.com/biz/reds-rooter-phoenix,2,Very slow response time (1 week) and no website suggests minimal digital sophistication. Owner Marty H. responds to reviews but business appears less tech-focused. Lower likelihood for analytics adoption.,,,
Plumbers,Gary The Handyman Guy,Gary M.,1 day,(602) 390-9204,,https://www.yelp.com/biz/gary-the-handyman-guy-phoenix,2,Solo operator/handyman service with no website. 1-day response time acceptable but limited digital presence suggests lower sophistication. Small operation may not see ROI in analytics services.,,,
,,,,,,,,,admin@azlawns.com,,admin@azlawns.com
Plumbers,Good Times Plumbing & Restoration,Trenton M.,2 hours,(480) 525-8095,goodtimesrestoration.com,https://www.yelp.com/biz/good-times-plumbing-and-restoration-chandler-2,5,Excellent response time (2 hours) and professional website. Offers both plumbing AND restoration services indicating larger operation. Multi-service businesses benefit most from analytics for resource allocation and customer segmentation.,,,
Plumbers,Apple Plumbing,Joni V.,1 day,(480) 425-8282,appleplumbingaz.com,https://www.yelp.com/biz/apple-plumbing-scottsdale-2,4,Established business with website and Scottsdale location (affluent area). 1-day response time indicates busy operation. Owner Joni V. shows engagement. Good fit for analytics to optimize scheduling and marketing spend.,,,
Plumbers,Crew Of Two Phoenix,Virginia A.,2 hours,(480) 217-2788,crewoftwophoenix.com,https://www.yelp.com/biz/crew-of-two-phoenix-phoenix-3,3,"Very fast 2-hour response time and website present. Small operation (crew of two) but professional. Mid-range likelihood as small size may limit budget, but digital presence shows openness to tech solutions.",,,
Plumbers,Copper State Home Maintenance & Repair,Michael D.,6 hours,(602) 570-4476,copperstatehandymanservices.com,https://www.yelp.com/biz/copper-state-home-maintenance-and-repair-phoenix,4,Multi-service handyman/maintenance company with website. 6-hour response time reasonable. Broader service offerings suggest larger client base that would benefit from CRM and analytics integration.,,,
HVAC,Desert Diamond Air,Carlo C.,2 hours,(602) 535-8988,desertdiamondhvac.com,https://www.yelp.com/biz/desert-diamond-air-phoenix,5,"Excellent 2-hour response time and professional website. HVAC businesses have high-value jobs and need analytics for seasonal planning, equipment inventory, and customer lifecycle management. Strong fit.",desertdiamondair@gmail.com,,desertdiamondair@gmail.com
,,,,,,,,,admin@azlawns.com,,admin@azlawns.com
Landscapers,Nico's Landscaping,Ruben T.,3 hours,(480) 516-9860,,https://www.yelp.com/biz/nicos-landscaping-avondale-3,2,3-hour response time decent but no website indicates limited digital investment. Landscaping businesses without websites typically operate on referrals and may not see value in advanced analytics.,,,
Landscapers,Divine Design Landscaping,Nathan M.,5 hours,(602) 704-0821,divinedesignlawncare.com,https://www.yelp.com/biz/divine-design-landscaping-phoenix,4,"Has website and reasonable response time. Design-focused landscaping suggests higher-end clientele and project complexity. These businesses benefit from project tracking, customer retention analytics, and portfolio management.",,,
Landscapers,Sal's Landscape Construction (already in ),Salvador G.,2 hours,(602) 669-9410,salslandscapeconstruction.com,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,5,"Fast 2-hour response and website. 'Construction' in name suggests larger projects beyond basic maintenance. Complex project-based businesses have highest analytics needs for bid management, resource allocation, and profitability tracking.",,,
Landscapers,Salvador Landscaping,Salvador H.,9 hours,(480) 450-8957,,https://www.yelp.com/biz/salvador-landscaping-phoenix,2,No website and slow 9-hour response time suggests smaller operation focused on basic services. Limited digital presence indicates lower likelihood of investing in analytics solutions.,,,
Home Remodeling,AZ Remodel Pros ,Brian G.,1 day,(602) 887-8792,azremodelpros.com,https://www.yelp.com/biz/az-remodel-pros-phoenix,5,"Professional website and active owner (Brian G.) who responds to reviews. Remodeling projects are complex, high-value, and benefit greatly from analytics for project management, material costs, timeline tracking, and customer acquisition costs. Excellent fit.",azremodelpros@gmail.com,,azremodelpros@gmail.com
Pool Remodeling,Fireside Pools,Crystal Pereira P.,11 hours,(480) 239-2087,firesideazpools.com,https://www.yelp.com/biz/fireside-pools-phoenix,4,"Website present and reasonable response time. Pool remodeling is high-ticket service in Phoenix market. These businesses benefit from seasonal analytics, customer lifecycle management, and referral tracking. Strong candidate.",,,
